Game_Id,Home_Or_Away,Win_Or_Loss,Home_Team_Stats,Away_Team_Stats
2014020408,away,win,"{'teamSkaterStats': {'goals': 4, 'pim': 6, 'shots': 28, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '52.5', 'blocked': 9, 'takeaways': 8, 'giveaways': 10, 'hits': 13}}","{'teamSkaterStats': {'goals': 2, 'pim': 8, 'shots': 34, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '47.5', 'blocked': 10, 'takeaways': 6, 'giveaways': 5, 'hits': 32}}"
2014020433,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 10, 'shots': 31, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '66.1', 'blocked': 6, 'takeaways': 5, 'giveaways': 7, 'hits': 20}}","{'teamSkaterStats': {'goals': 2, 'pim': 8, 'shots': 26, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '33.9', 'blocked': 13, 'takeaways': 2, 'giveaways': 2, 'hits': 11}}"
2014020437,away,win,"{'teamSkaterStats': {'goals': 4, 'pim': 2, 'shots': 32, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '52.9', 'blocked': 13, 'takeaways': 0, 'giveaways': 9, 'hits': 14}}","{'teamSkaterStats': {'goals': 3, 'pim': 4, 'shots': 28, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '47.1', 'blocked': 10, 'takeaways': 5, 'giveaways': 3, 'hits': 16}}"
2014020457,home,loss,"{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 29, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '53.8', 'blocked': 15, 'takeaways': 4, 'giveaways': 8, 'hits': 50}}","{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 24, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '46.2', 'blocked': 9, 'takeaways': 2, 'giveaways': 5, 'hits': 48}}"
2014020467,away,win,"{'teamSkaterStats': {'goals': 1, 'pim': 6, 'shots': 26, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '50.7', 'blocked': 18, 'takeaways': 6, 'giveaways': 3, 'hits': 23}}","{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 32, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '49.3', 'blocked': 15, 'takeaways': 3, 'giveaways': 2, 'hits': 23}}"
2014020485,away,win,"{'teamSkaterStats': {'goals': 3, 'pim': 44, 'shots': 34, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '51.9', 'blocked': 19, 'takeaways': 4, 'giveaways': 6, 'hits': 31}}","{'teamSkaterStats': {'goals': 1, 'pim': 32, 'shots': 46, 'powerPlayPercentage': '16.7', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '48.1', 'blocked': 10, 'takeaways': 2, 'giveaways': 2, 'hits': 24}}"
2014020499,home,loss,"{'teamSkaterStats': {'goals': 3, 'pim': 8, 'shots': 37, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '43.7', 'blocked': 13, 'takeaways': 8, 'giveaways': 3, 'hits': 46}}","{'teamSkaterStats': {'goals': 3, 'pim': 6, 'shots': 27, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '56.3', 'blocked': 13, 'takeaways': 5, 'giveaways': 3, 'hits': 42}}"
2014020527,home,loss,"{'teamSkaterStats': {'goals': 6, 'pim': 8, 'shots': 34, 'powerPlayPercentage': '33.3', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '67.2', 'blocked': 10, 'takeaways': 6, 'giveaways': 1, 'hits': 26}}","{'teamSkaterStats': {'goals': 4, 'pim': 6, 'shots': 22, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '32.8', 'blocked': 5, 'takeaways': 1, 'giveaways': 4, 'hits': 33}}"
2014020541,home,loss,"{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 37, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '55.7', 'blocked': 9, 'takeaways': 8, 'giveaways': 3, 'hits': 32}}","{'teamSkaterStats': {'goals': 1, 'pim': 6, 'shots': 34, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '44.3', 'blocked': 15, 'takeaways': 4, 'giveaways': 3, 'hits': 21}}"
2014020551,home,loss,"{'teamSkaterStats': {'goals': 2, 'pim': 6, 'shots': 20, 'powerPlayPercentage': '33.3', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '56.4', 'blocked': 7, 'takeaways': 7, 'giveaways': 6, 'hits': 30}}","{'teamSkaterStats': {'goals': 5, 'pim': 8, 'shots': 34, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '43.6', 'blocked': 16, 'takeaways': 3, 'giveaways': 1, 'hits': 25}}"
2014020558,away,win,"{'teamSkaterStats': {'goals': 0, 'pim': 2, 'shots': 30, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '56.9', 'blocked': 9, 'takeaways': 4, 'giveaways': 6, 'hits': 31}}","{'teamSkaterStats': {'goals': 2, 'pim': 2, 'shots': 33, 'powerPlayPercentage': '100.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '43.1', 'blocked': 13, 'takeaways': 3, 'giveaways': 4, 'hits': 22}}"
2014020577,away,win,"{'teamSkaterStats': {'goals': 4, 'pim': 12, 'shots': 26, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '59.7', 'blocked': 16, 'takeaways': 8, 'giveaways': 10, 'hits': 29}}","{'teamSkaterStats': {'goals': 3, 'pim': 6, 'shots': 32, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '40.3', 'blocked': 19, 'takeaways': 8, 'giveaways': 10, 'hits': 23}}"
2014020606,away,win,"{'teamSkaterStats': {'goals': 1, 'pim': 10, 'shots': 33, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '46.0', 'blocked': 9, 'takeaways': 3, 'giveaways': 9, 'hits': 10}}","{'teamSkaterStats': {'goals': 3, 'pim': 18, 'shots': 31, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '54.0', 'blocked': 14, 'takeaways': 7, 'giveaways': 12, 'hits': 14}}"
2014020611,away,win,"{'teamSkaterStats': {'goals': 5, 'pim': 6, 'shots': 30, 'powerPlayPercentage': '20.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '52.1', 'blocked': 15, 'takeaways': 9, 'giveaways': 26, 'hits': 25}}","{'teamSkaterStats': {'goals': 6, 'pim': 14, 'shots': 35, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '47.9', 'blocked': 20, 'takeaways': 10, 'giveaways': 12, 'hits': 15}}"
2014020624,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 9, 'shots': 33, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '56.4', 'blocked': 6, 'takeaways': 15, 'giveaways': 16, 'hits': 24}}","{'teamSkaterStats': {'goals': 4, 'pim': 9, 'shots': 27, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '43.6', 'blocked': 12, 'takeaways': 7, 'giveaways': 13, 'hits': 17}}"
2014020637,away,win,"{'teamSkaterStats': {'goals': 8, 'pim': 6, 'shots': 35, 'powerPlayPercentage': '66.7', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '62.0', 'blocked': 10, 'takeaways': 9, 'giveaways': 15, 'hits': 26}}","{'teamSkaterStats': {'goals': 2, 'pim': 6, 'shots': 27, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '38.0', 'blocked': 15, 'takeaways': 4, 'giveaways': 14, 'hits': 17}}"
